Put Gamma,Put Vega,Put Theta,Put Delta,PCR,Put POP %,Put Volume,Put OI Change,Put Change %,Put OI,Put Bid Price,Put Offer Price,Put Intrinsic Value(Fut),Put Intrinsic Value(Spot),Put Time Value,Put LTP,Strike,IV,Instrument,Call LTP,Call Time Value,Call Intrinsic Value(Spot),Call Intrinsic Value(Fut),Call Bid Price,Call Offer Price,Call OI,Call Change %,Call OI Change,Call Volume,Call POP %,Call Delta,Call Theta,Call Vega,Call Gamma
--,1.49,-1.53,-0.01,91,0,56355.00,-9295.00,-28.30,23595.00,3.90,5.05,--,--,4.70,4.70,22350,22.60,NIFTY,1528.15,-466.85,1984.30,1995.00,1802.10,2042.20,260.00,--,--,--,1,0.99,-1.53,1.49,--
--,1.37,-1.34,-0.01,246,0,416910.00,11765.00,6.20,201110.00,4.05,5.15,--,--,4.00,4.00,22400,21.60,NIFTY,1710.00,-235.00,1934.30,1945.00,1842.95,1964.05,845.00,--,--,--,1,0.99,-1.34,1.37,--
--,1.65,-1.63,-0.02,137,0,146965.00,-12415.00,-21.90,44330.00,4.65,5.55,--,--,5.15,5.15,22450,21.80,NIFTY,1737.95,-157.05,1884.30,1895.00,1727.00,1996.85,325.00,--,--,130.00,1,0.98,-1.63,1.65,--
--,1.77,-1.74,-0.02,7,0,1943565.00,-221130.00,-10.00,1983670.00,5.00,5.60,--,--,5.60,5.60,22500,21.60,NIFTY,1830.95,-14.05,1834.30,1845.00,1834.60,1847.70,298350.00,-2.50,-7605.00,17615.00,1,0.98,-1.74,1.77,--
--,1.79,-1.71,-0.02,190,0,136760.00,-15015.00,-23.60,48685.00,5.10,6.00,--,--,5.55,5.55,22550,21.00,NIFTY,1639.65,-155.35,1784.30,1795.00,1736.45,1838.75,260.00,--,--,130.00,1,0.98,-1.71,1.79,--
0.00010,1.93,-1.82,-0.02,154,0,747760.00,-32110.00,-7.80,380250.00,5.25,6.05,--,--,6.05,6.05,22600,20.80,NIFTY,1447.00,-298.00,1734.30,1745.00,1646.45,1786.30,2470.00,--,--,--,1,0.98,-1.82,1.93,0.00010
0.00010,1.92,-1.75,-0.02,103,0,170690.00,1560.00,2.40,66820.00,5.85,6.70,--,--,5.80,5.80,22650,20.10,NIFTY,1688.80,-6.20,1684.30,1695.00,1651.45,1760.65,390.00,-40.00,-260.00,325.00,1,0.98,-1.75,1.92,0.00010
0.00010,2.21,-2.02,-0.02,100,0,778180.00,10400.00,2.10,514865.00,6.35,7.20,--,--,7.00,7.00,22700,20.20,NIFTY,1565.00,-80.00,1634.30,1645.00,1624.25,1673.35,5460.00,6.30,325.00,325.00,1,0.98,-2.02,2.21,0.00010
0.00010,2.30,-2.06,-0.02,50,0,289705.00,-3965.00,-2.60,145795.00,6.75,7.35,--,--,7.25,7.25,22750,19.70,NIFTY,1489.60,-105.40,1584.30,1595.00,1503.75,1613.40,2990.00,--,--,195.00,1,0.98,-2.06,2.30,0.00010
0.00010,2.57,-2.29,-0.03,58,0,1393080.00,140985.00,18.20,913900.00,7.55,8.30,--,--,8.35,8.35,22800,19.60,NIFTY,1526.20,-18.80,1534.30,1545.00,1508.05,1549.35,15730.00,0.40,65.00,1105.00,1,0.97,-2.29,2.57,0.00010
